Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-molgen.json	65807	-	0	0	0	0	0	0	9	273	0	0	0	0	0	0	0	1	0	0	23	177	638	0	0	0	7	0	6
fsh-generated/resources/Bundle-mii-exa-befund-bundle-1-braf.json	38235	10	45	0	0	0	0	0	3	5365	0	0	0	0	0	0	0	0	0	0	11	53	8309	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-2-nipbl-clinical.json	42336	7	16	0	0	0	0	0	2	2748	0	0	0	0	0	0	0	1	0	0	4	58	4788	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-fgfr2-fusion.json	18971	4	2	0	0	0	0	0	1	1971	0	0	0	0	0	0	0	0	0	0	4	308	100	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-srcc.json	20606	3	2	0	0	0	0	0	1	5107	0	0	0	0	0	0	0	0	0	0	3	57	5702	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-befund-2-nipbl.json	35561	5	2	0	0	0	0	0	1	1946	0	0	0	0	0	0	0	0	0	0	3	34	4716	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-comprehensive-wes.json	29218	5	18	0	1	0	0	0	1	2001	0	0	0	0	0	0	0	0	0	0	4	50	208	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-fam-his-breast-ovar-can.json	27430	4	5	0	0	0	0	0	1	4260	0	0	0	0	0	0	0	0	0	0	3	186	6971	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-molgen-capabilitystatement.json	60880	5	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	4	313	173	0	0	0	4	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-21.json	633	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	97	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-22.json	613	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	8	8	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-23.json	666	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	9	0	0	0	0	0	1
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-24.json	555	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	24	13	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-molgen-bundle-befund-2-nipbl-condition-lab.json	1585	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	8	19	0	0	0	0	0	0
