Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-molgen.json	65807	-	0	0	0	0	0	0	13	645	0	0	0	0	0	0	0	1	0	0	22	469	416	0	0	0	7	0	4
fsh-generated/resources/Bundle-mii-exa-befund-bundle-1-braf.json	38235	8	38	0	0	0	0	0	2	5905	0	0	0	0	0	0	0	0	0	0	10	64	9772	0	0	1	0	0	1
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-2-nipbl-clinical.json	42336	6	11	0	0	0	0	0	1	3184	0	0	0	0	0	0	0	1	0	0	3	245	5682	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-fgfr2-fusion.json	18971	3	1	0	0	0	0	0	1	2309	0	0	0	0	0	0	0	0	0	0	3	46	64	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-srcc.json	20606	4	2	0	0	0	0	0	0	5927	0	0	0	0	0	0	0	0	0	0	2	36	6974	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-befund-2-nipbl.json	35561	5	3	0	0	0	0	0	1	2246	0	0	0	0	0	0	0	0	0	0	2	423	5602	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-comprehensive-wes.json	29218	5	14	0	1	0	0	0	1	2342	0	0	0	0	0	0	0	0	0	0	2	303	119	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-fam-his-breast-ovar-can.json	27430	4	4	0	0	0	0	0	1	4952	0	0	0	0	0	0	0	0	0	0	2	110	8337	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-mii-cps-molgen-capabilitystatement.json	60880	5	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	3	298	71	0	1	0	4	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-21.json	633	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	68	12	0	0	0	0	0	0
