Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-molgen.json	65807	-	0	0	0	0	0	0	25	95	0	0	0	0	0	0	0	1	0	0	30	340	634	0	0	0	7	0	9
fsh-generated/resources/Bundle-mii-exa-befund-bundle-1-braf.json	38235	11	40	0	0	0	0	0	3	4656	0	0	0	0	0	0	0	0	0	0	15	145	6845	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-2-nipbl-clinical.json	42336	12	18	0	0	0	0	0	2	2275	0	0	0	0	0	0	0	1	0	0	6	120	4031	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-fgfr2-fusion.json	18971	7	3	0	0	0	0	0	2	1658	0	0	0	0	0	0	0	0	0	0	5	61	102	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-srcc.json	20606	5	3	0	0	0	0	0	1	4210	0	0	0	0	0	0	0	0	0	0	5	56	4900	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-befund-2-nipbl.json	35561	7	5	0	0	0	0	0	3	1584	0	0	0	0	0	0	0	0	0	0	5	99	3905	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-comprehensive-wes.json	29218	9	20	0	2	0	0	0	1	1676	0	0	0	0	0	0	0	0	0	0	4	115	182	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-fam-his-breast-ovar-can.json	27430	7	6	0	0	0	0	0	1	3551	0	0	0	0	0	0	0	1	0	0	5	68	5842	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-molgen-capabilitystatement.json	60880	8	0	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	0	5	179	101	0	1	0	5	0	3
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-21.json	633	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	8	16	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-22.json	613	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	7	14	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-23.json	666	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-24.json	555	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	16	0	0	0	0	0	0
