page	lang	kind	source	gate	line	excerpt
StructureDefinition-mii-pr-molgen-anforderung-genetischer-test-intro	default	bridge	the	B	141	### Examples
StructureDefinition-mii-pr-molgen-anforderung-genetischer-test-intro	de	bridge	the	B	136	### Beispiele
StructureDefinition-mii-pr-molgen-diagnostische-implikation-intro	default	bridge	the	B	243	### Examples
StructureDefinition-mii-pr-molgen-diagnostische-implikation-intro	de	bridge	the	B	238	### Beispiele
StructureDefinition-mii-pr-molgen-empfohlene-folgemassnahme-intro	default	bridge	the	B	123	### Examples
StructureDefinition-mii-pr-molgen-empfohlene-folgemassnahme-intro	de	bridge	the	B	117	### Beispiele
StructureDefinition-mii-pr-molgen-familienanamnese-intro	default	bridge	the	B	137	### Examples
StructureDefinition-mii-pr-molgen-familienanamnese-intro	de	bridge	the	B	131	### Beispiele
StructureDefinition-mii-pr-molgen-genomic-study-intro	default	bridge	the	B	92	### Examples
StructureDefinition-mii-pr-molgen-genomic-study-intro	de	bridge	the	B	89	### Beispiele
StructureDefinition-mii-pr-molgen-genotyp-intro	default	bridge	the	B	226	### Examples
StructureDefinition-mii-pr-molgen-genotyp-intro	de	bridge	the	B	221	### Beispiele
StructureDefinition-mii-pr-molgen-medikationsempfehlung-intro	default	bridge	the	B	117	### Examples
StructureDefinition-mii-pr-molgen-medikationsempfehlung-intro	de	bridge	the	B	111	### Beispiele
StructureDefinition-mii-pr-molgen-mikrosatelliteninstabilitaet-intro	default	bridge	the	B	222	### Examples
StructureDefinition-mii-pr-molgen-mikrosatelliteninstabilitaet-intro	de	bridge	the	B	216	### Beispiele
StructureDefinition-mii-pr-molgen-molekulare-konsequenz-intro	default	bridge	the	B	109	### Examples
StructureDefinition-mii-pr-molgen-molekulare-konsequenz-intro	de	bridge	the	B	105	### Beispiele
StructureDefinition-mii-pr-molgen-mutationslast-intro	default	bridge	the	B	218	### Examples
StructureDefinition-mii-pr-molgen-mutationslast-intro	de	bridge	the	B	213	### Beispiele
StructureDefinition-mii-pr-molgen-polygener-risiko-score-intro	default	bridge	the	B	38	### Examples
StructureDefinition-mii-pr-molgen-polygener-risiko-score-intro	de	bridge	the	B	35	### Beispiele
StructureDefinition-mii-pr-molgen-therapeutische-implikation-intro	default	bridge	the	B	226	### Examples
StructureDefinition-mii-pr-molgen-therapeutische-implikation-intro	de	bridge	the	B	221	### Beispiele
StructureDefinition-mii-pr-molgen-variante-intro	default	bridge	the	B	293	### Examples
StructureDefinition-mii-pr-molgen-variante-intro	de	bridge	the	B	288	### Beispiele
security-and-privacy	default	no-source	none	B	51	**This section is not yet written — decision taken, content outstanding.** The Simplifier guide this module was migrated
security-and-privacy	de	no-source	none	B	48	**Dieser Abschnitt ist noch nicht geschrieben — Entscheidung getroffen, Inhalt offen.** Der Simplifier-Leitfaden, aus de
