Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-molgen.json	65799	-	0	0	0	1	0	0	4	13	0	0	0	0	0	0	0	0	0	0	10	140	558	0	0	0	5	0	1
fsh-generated/resources/Bundle-mii-exa-befund-bundle-1-braf.json	38191	3	2	0	0	0	0	0	1	7749	0	0	0	0	0	0	0	1	0	0	9	227	8093	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-2-nipbl-clinical.json	42320	4	2	0	0	0	0	0	2	2363	0	0	0	0	0	0	0	0	0	0	3	111	4736	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-fgfr2-fusion.json	18947	2	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	110	95	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-befund-bundle-befund-srcc.json	20590	2	1	0	0	0	0	0	1	2271	0	0	0	0	0	0	0	0	0	0	3	289	5732	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-befund-2-nipbl.json	35545	3	2	0	0	0	0	0	1	1905	0	0	0	0	0	0	0	0	0	0	2	99	4629	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-comprehensive-wes.json	29186	3	1	0	0	0	0	0	1	756	0	0	0	0	0	0	0	0	0	0	3	38	155	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-molgen-bundle-fam-his-breast-ovar-can.json	27406	3	1	0	0	0	0	0	0	2699	0	0	0	0	0	0	0	0	0	0	2	154	6896	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-molgen-capabilitystatement.json	64631	4	0	0	1	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	3	180	58	0	0	0	3	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-21.json	633	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	12	0	0	0	0	0	0
fsh-generated/resources/ChargeItem-mii-exa-molgen-chargeitem-ebm-22.json	613	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	0	0	0	0	0	0
